ts_utc,series,value_mw,fetched_at_utc
2026-08-18 07:13:33,THERMAL GENERATION,116034,2026-08-18 09:41:26
2026-08-18 07:13:33,WIND GENERATION,24664,2026-08-18 09:41:26
2026-08-18 07:13:33,NUCLEAR GENERATION,5000,2026-08-18 09:41:26
2026-08-18 07:17:33,HYDRO GENERATION,26207,2026-08-18 09:41:26
2026-08-18 07:17:33,GAS GENERATION,1834,2026-08-18 09:41:26
2026-08-18 07:17:33,SOLAR GENERATION,65092,2026-08-18 09:41:26
2026-08-18 07:17:33,THERMAL GENERATION,116351,2026-08-18 09:41:26
2026-08-18 07:17:33,WIND GENERATION,24308,2026-08-18 09:41:26
2026-08-18 07:17:33,NUCLEAR GENERATION,4986,2026-08-18 09:41:26
2026-08-18 08:00:02,SOLAR GENERATION,63527,2026-08-18 09:41:26
2026-08-18 08:00:02,GAS GENERATION,1832,2026-08-18 09:41:26
2026-08-18 08:00:02,THERMAL GENERATION,113749,2026-08-18 09:41:26
2026-08-18 08:00:02,HYDRO GENERATION,25900,2026-08-18 09:41:26
2026-08-18 08:00:02,WIND GENERATION,24050,2026-08-18 09:41:26
2026-08-18 08:00:02,NUCLEAR GENERATION,5012,2026-08-18 09:41:26
2026-08-18 08:03:33,GAS GENERATION,1847,2026-08-18 09:41:26
2026-08-18 08:03:33,HYDRO GENERATION,25838,2026-08-18 09:41:26
2026-08-18 08:03:33,THERMAL GENERATION,113503,2026-08-18 09:41:26
2026-08-18 08:03:33,NUCLEAR GENERATION,5023,2026-08-18 09:41:26
2026-08-18 08:03:33,WIND GENERATION,24281,2026-08-18 09:41:26
2026-08-18 08:03:33,SOLAR GENERATION,63722,2026-08-18 09:41:26
2026-08-18 08:06:02,THERMAL GENERATION,113674,2026-08-18 09:41:26
2026-08-18 08:06:02,NUCLEAR GENERATION,5020,2026-08-18 09:41:26
2026-08-18 08:06:02,SOLAR GENERATION,63739,2026-08-18 09:41:26
2026-08-18 08:06:02,WIND GENERATION,24309,2026-08-18 09:41:26
2026-08-18 08:06:02,HYDRO GENERATION,25961,2026-08-18 09:41:26
2026-08-18 08:06:02,GAS GENERATION,1834,2026-08-18 09:41:26
2026-08-18 08:10:02,NUCLEAR GENERATION,5030,2026-08-18 09:41:26
2026-08-18 08:10:02,SOLAR GENERATION,63698,2026-08-18 09:41:26
2026-08-18 08:10:02,THERMAL GENERATION,113897,2026-08-18 09:41:26
2026-08-18 08:10:02,GAS GENERATION,1840,2026-08-18 09:41:26
2026-08-18 08:10:02,WIND GENERATION,24473,2026-08-18 09:41:26
2026-08-18 08:10:02,HYDRO GENERATION,26113,2026-08-18 09:41:26
2026-08-18 08:14:02,GAS GENERATION,1830,2026-08-18 09:41:26
2026-08-18 08:14:02,SOLAR GENERATION,63550,2026-08-18 09:41:26
2026-08-18 08:14:02,HYDRO GENERATION,26109,2026-08-18 09:41:26
2026-08-18 08:14:02,THERMAL GENERATION,114308,2026-08-18 09:41:26
2026-08-18 08:14:02,NUCLEAR GENERATION,5013,2026-08-18 09:41:26
2026-08-18 08:14:02,WIND GENERATION,24570,2026-08-18 09:41:26
2026-08-18 08:18:02,NUCLEAR GENERATION,5027,2026-08-18 09:41:26
2026-08-18 08:18:02,THERMAL GENERATION,114776,2026-08-18 09:41:26
2026-08-18 08:18:02,SOLAR GENERATION,63337,2026-08-18 09:41:26
2026-08-18 08:18:02,WIND GENERATION,24680,2026-08-18 09:41:26
2026-08-18 08:18:02,GAS GENERATION,1839,2026-08-18 09:41:26
2026-08-18 08:18:02,HYDRO GENERATION,26136,2026-08-18 09:41:26
2026-08-18 08:22:02,WIND GENERATION,24720,2026-08-18 09:41:26
2026-08-18 08:22:02,THERMAL GENERATION,115266,2026-08-18 09:41:26
2026-08-18 08:22:02,HYDRO GENERATION,26180,2026-08-18 09:41:26
2026-08-18 08:22:02,NUCLEAR GENERATION,4999,2026-08-18 09:41:26
2026-08-18 08:22:02,SOLAR GENERATION,63069,2026-08-18 09:41:26
2026-08-18 08:22:02,GAS GENERATION,1843,2026-08-18 09:41:26
2026-08-18 08:25:33,NUCLEAR GENERATION,4990,2026-08-18 09:41:26
2026-08-18 08:25:33,SOLAR GENERATION,63570,2026-08-18 09:41:26
2026-08-18 08:25:33,GAS GENERATION,1829,2026-08-18 09:41:26
2026-08-18 08:25:33,WIND GENERATION,24724,2026-08-18 09:41:26
2026-08-18 08:25:33,THERMAL GENERATION,115317,2026-08-18 09:41:26
2026-08-18 08:25:33,HYDRO GENERATION,26179,2026-08-18 09:41:26
2026-08-18 08:30:02,SOLAR GENERATION,63278,2026-08-18 09:41:26
2026-08-18 08:30:02,NUCLEAR GENERATION,5000,2026-08-18 09:41:26
2026-08-18 08:30:02,WIND GENERATION,24841,2026-08-18 09:41:26
2026-08-18 08:30:02,HYDRO GENERATION,26157,2026-08-18 09:41:26
2026-08-18 08:30:02,THERMAL GENERATION,115374,2026-08-18 09:41:26
2026-08-18 08:30:02,GAS GENERATION,1826,2026-08-18 09:41:26
2026-08-18 08:34:02,SOLAR GENERATION,63678,2026-08-18 09:41:26
2026-08-18 08:34:02,THERMAL GENERATION,114413,2026-08-18 09:41:26
2026-08-18 08:34:02,NUCLEAR GENERATION,5000,2026-08-18 09:41:26
2026-08-18 08:34:02,HYDRO GENERATION,25965,2026-08-18 09:41:26
2026-08-18 08:34:02,GAS GENERATION,1822,2026-08-18 09:41:26
2026-08-18 08:34:02,WIND GENERATION,25021,2026-08-18 09:41:26
2026-08-18 08:37:33,NUCLEAR GENERATION,4997,2026-08-18 09:41:26
2026-08-18 08:37:33,GAS GENERATION,1844,2026-08-18 09:41:26
2026-08-18 08:37:33,SOLAR GENERATION,63830,2026-08-18 09:41:26
2026-08-18 08:37:33,HYDRO GENERATION,25860,2026-08-18 09:41:26
2026-08-18 08:37:33,THERMAL GENERATION,114395,2026-08-18 09:41:26
2026-08-18 08:37:33,WIND GENERATION,25175,2026-08-18 09:41:26
2026-08-18 08:41:33,NUCLEAR GENERATION,5009,2026-08-18 09:41:26
2026-08-18 08:41:33,THERMAL GENERATION,114368,2026-08-18 09:41:26
2026-08-18 08:41:33,SOLAR GENERATION,63561,2026-08-18 09:41:26
2026-08-18 08:41:33,WIND GENERATION,25372,2026-08-18 09:41:26
2026-08-18 08:41:33,HYDRO GENERATION,25962,2026-08-18 09:41:26
2026-08-18 08:41:33,GAS GENERATION,1844,2026-08-18 09:41:26
2026-08-18 08:43:32,HYDRO GENERATION,25991,2026-08-18 09:41:26
2026-08-18 08:43:32,GAS GENERATION,1835,2026-08-18 09:41:26
2026-08-18 08:43:32,SOLAR GENERATION,63411,2026-08-18 09:41:26
2026-08-18 08:43:33,THERMAL GENERATION,114538,2026-08-18 09:41:26
2026-08-18 08:43:33,WIND GENERATION,25484,2026-08-18 09:41:26
2026-08-18 08:43:33,NUCLEAR GENERATION,5000,2026-08-18 09:41:26
2026-08-18 08:47:33,THERMAL GENERATION,115138,2026-08-18 09:41:26
2026-08-18 08:47:33,HYDRO GENERATION,26058,2026-08-18 09:41:26
2026-08-18 08:47:33,WIND GENERATION,25624,2026-08-18 09:41:26
2026-08-18 08:47:33,NUCLEAR GENERATION,4991,2026-08-18 09:41:26
2026-08-18 08:47:33,GAS GENERATION,1815,2026-08-18 09:41:26
2026-08-18 08:47:33,SOLAR GENERATION,63911,2026-08-18 09:41:26
2026-08-18 08:49:33,THERMAL GENERATION,115326,2026-08-18 09:41:26
2026-08-18 08:49:33,NUCLEAR GENERATION,4984,2026-08-18 09:41:26
2026-08-18 08:49:33,GAS GENERATION,1828,2026-08-18 09:41:26
2026-08-18 08:49:33,WIND GENERATION,25675,2026-08-18 09:41:26
2026-08-18 08:49:33,HYDRO GENERATION,26108,2026-08-18 09:41:26
2026-08-18 08:49:33,SOLAR GENERATION,63903,2026-08-18 09:41:26
2026-08-18 08:53:33,HYDRO GENERATION,26082,2026-08-18 09:41:26
2026-08-18 08:53:33,THERMAL GENERATION,115976,2026-08-18 09:41:26
2026-08-18 08:53:33,NUCLEAR GENERATION,4988,2026-08-18 09:41:26
2026-08-18 08:53:33,WIND GENERATION,25813,2026-08-18 09:41:26
2026-08-18 08:53:33,SOLAR GENERATION,63051,2026-08-18 09:41:26
2026-08-18 08:53:33,GAS GENERATION,1810,2026-08-18 09:41:26
2026-08-18 08:55:33,WIND GENERATION,25892,2026-08-18 09:41:26
2026-08-18 08:55:33,HYDRO GENERATION,26080,2026-08-18 09:41:26
2026-08-18 08:55:33,SOLAR GENERATION,62721,2026-08-18 09:41:26
2026-08-18 08:55:33,NUCLEAR GENERATION,4995,2026-08-18 09:41:26
2026-08-18 08:55:33,THERMAL GENERATION,116532,2026-08-18 09:41:26
2026-08-18 08:55:33,GAS GENERATION,1823,2026-08-18 09:41:26
2026-08-18 08:59:33,NUCLEAR GENERATION,4993,2026-08-18 09:41:26
2026-08-18 08:59:33,GAS GENERATION,1808,2026-08-18 09:41:26
2026-08-18 08:59:33,SOLAR GENERATION,62710,2026-08-18 09:41:26
2026-08-18 08:59:33,WIND GENERATION,26068,2026-08-18 09:41:26
2026-08-18 08:59:33,THERMAL GENERATION,117148,2026-08-18 09:41:26
2026-08-18 08:59:33,HYDRO GENERATION,26038,2026-08-18 09:41:26
2026-08-18 09:03:32,HYDRO GENERATION,25996,2026-08-18 09:41:26
2026-08-18 09:03:32,SOLAR GENERATION,63046,2026-08-18 09:41:26
2026-08-18 09:03:32,GAS GENERATION,1811,2026-08-18 09:41:26
2026-08-18 09:03:33,WIND GENERATION,26509,2026-08-18 09:41:26
2026-08-18 09:03:33,THERMAL GENERATION,116932,2026-08-18 09:41:26
2026-08-18 09:03:33,NUCLEAR GENERATION,4995,2026-08-18 09:41:26
2026-08-18 09:05:32,GAS GENERATION,1826,2026-08-18 09:41:26
2026-08-18 09:05:32,HYDRO GENERATION,26034,2026-08-18 09:41:26
2026-08-18 09:05:33,SOLAR GENERATION,63162,2026-08-18 09:41:26
2026-08-18 09:05:33,NUCLEAR GENERATION,5010,2026-08-18 09:41:26
2026-08-18 09:05:33,THERMAL GENERATION,116903,2026-08-18 09:41:26
